PRODUCTNO,LOCATION
1014515-00-D,BP4-04000
1055909-00-A,BW-BAT-010
1014395-01-A,AS-PL-100
1014879-00-D,AS-FL-030-W
1021848-00-D,SC2-00300
1002516-00-D,PL-IMB-XX
1045230-00-A,SH1-00200
1008718-04-B,PL-IH-SA2
1019136-00-A,PT-SM-DU-01
1006021-00-A,SH1-00200
1014192-01-C,BM6-11000
1008982-00-A,PL-IMB-XX
1014963-00-C,PT-FG-CH3-H23U
1026644-02-D,AS-IP1-020-E
1023228-07-C,AS-CP-SEQ
1022641-00-D,HV9-00410
1015618-00-C,PT-SM-BP-01
1018261-00-B,SC2-00500
1033020-12-D,PT-SM-EL-01
1048473-05-A,PL-IMB-XX
6006352-07-A,AS-OF-SEQ
1006643-00-A,BW-FT-BOS-BIW1
1031674-00-B,BW-MLN-040L
6008629,PL-IH-SA
1003405-00-B,PT-SM-DU-01
1021685-01-B,SC2-00100
1055366-00-A,DM1-44500
1048954-99-A,AS-SF1-290-W
1005653-00-N,AS-T01-010-W
1050896-00-A,JB3-00300
1022404-00-A,PT-SM-SC-01
1029304-00-B,AS-C02-110-W
1055368-00-A,DM1-44500
1015897-00-D,CD1-03000
6008027-E0-D,PN-PR-020-1
1003368-00-A,HV9-00400
1028387-00-E,BM5-01000
1008458-00-A,TP1-10550
1033646-00-C,AS-T03-070-W
1031236-91-E,AS-HRN-SEQ
1013845-00-B,AS-FL-240-E
1015898-00-A,CD1-NCM
1022529-01-B,TSUSHO
1052655-00-A,PT-WS-SEQ
1014879-00-D,AS-FL-040-W
1022635-00-B,HV9-00500
6006481-00-F,ST-3A-STACKING
6006579-00-F,ST-3A-STACKING
1037648-00-B,AS-T03-020-E
1021103-01-A,SJ1-00100
1013616-03-B,AS-3RW-010-E
1028046-00-D,AS-KT1-130-W
1023852-04-C,SC2-00100
1037652-00-C,TSUSHO
1006717-00-B,AS-FL-030-W
1055837-00-A,BP3-09200
1003161-00-D,AS-OF-SEQ
1024081-00-E,SJ1-00100
1026917-00-A,SC2-00401
1054267-00-A,BP3-NCM
1014965-00-B,PT-SM-BP-01
1009251-00-B,PL-IMB-XX
1054268-00-A,BP3-09100
6008087-04-D,PN-TC-030-1
1050503-00-A,BP3-09200
1025876-00-C,SU5-11000
1037795-00-B,CT1-00500
1030608-01-A,AS-OF-SEQ
1012008-00-B,HV2-00400
1018510-00-B,PT-SM-SC-01
1036296-00-D,TP1-10040
1002675-00-A,SW1-40000
1011543-00-A,AS-T03-050-E
1019313-00-A,BW-FT-BOS-BIW1
1031075-E0-A,PN-PR-020-1
1036298-00-D,TP1-10040
1034092-00-A,SU4-12000
1023190-00-D,CH3-03350
1038733-00-A,PT-SM-SC-01
1059688-00-A,FA1-01000
1009892-00-A,DT1-10400
1013417-00-B,AS-T02-120-E
1032582-02-D,AS-T03-050-E
1007898-99-B,SH1-00300
1026041-00-J,CHANGE-GA
1039551-01-B,HP1-00200
1025462-00-B,SC2-00400
1039674-00-A,PT-FG-HVC-F23U
1025683-00-B,SU2-02000
1016278-00-C,PT-SM-BP-01
1008318-00-A,AS-FL-130-E
