PRODUCTNO,LOCATION
1023228-07-C,AS-CP-SEQ
1041309-00-C,BP3-15200
1015618-00-C,PT-SM-BP-01
1033020-12-D,PT-SM-EL-01
1012008-00-B,PT-RPK-CART
1052062-00-B,BP3-09200
1043438-00-A,PN-TT-L1-01-1
1056488-00-A,PL-IH-SA
1048473-05-A,PL-IMB-XX
6006352-07-A,AS-OF-SEQ
1018261-00-B,SC2-00500
1006643-00-A,BW-FT-BOS-BIW1
1045207-00-B,BP3-12200
1031674-00-B,BW-MLN-040L
1043257-00-A,AS-RF1-020-E
6006493-00-G,ST-SCHULER-STACKING TABLE1
1010588-00-B,ST-1B-TABLE1
1050896-00-A,JB3-00300
1029304-00-B,AS-C02-110-W
1003368-00-A,HV9-00400
1008458-00-A,TP1-10550
1033646-00-C,AS-T03-070-W
1027121-00-A,AS-BK-RT-25
1031236-91-E,AS-HRN-SEQ
1013845-00-B,AS-FL-240-E
1022529-01-B,TSUSHO
1052655-00-A,PT-WS-SEQ
1014879-00-D,AS-FL-040-W
1021962-00-A,AS-FT-BOS-GA4
6006481-00-F,ST-3A-STACKING
2006529,BM6-05000
1041315-00-A,AS-MR1-020-E
1021103-01-A,SJ1-00100
1037648-00-B,AS-T03-020-E
1055148-00-A,FS3-10000
1028046-00-D,AS-KT1-130-W
1003248-00-B,BW-FT-BOS-BIW3
1037652-00-C,TSUSHO
1006717-00-B,AS-FL-030-W
1055837-00-A,BP3-09200
1008497-00-B,SU4-03000
1003161-00-D,AS-OF-SEQ
1024081-00-E,SJ1-00100
1017953-00-B,SC2-00501
1014965-00-B,PT-SM-BP-01
1012650-01-J,BW-BAT-010
1009251-00-B,PL-IMB-XX
1054268-00-A,BP3-09100
6008087-04-D,PN-TC-030-1
1005653-00-N,AS-T01-010-W
1025876-00-C,SU5-11000
1030608-01-A,AS-OF-SEQ
1023647-00-B,SU2-03000
1003163-00-A,BW-FT-BOS-BIW1
1032274-00-D,AS-T02-120-W
1036296-00-D,TP1-10040
1020452-00-C,CH3-00400
1002675-00-A,SW1-40000
1011543-00-A,AS-T03-050-E
1019313-00-A,BW-FT-BOS-BIW1
1031075-E0-A,PN-PR-020-1
1036298-00-D,TP1-10040
1034092-00-A,SU4-12000
1039674-10-B,AS-T01-SA1-1Z
1023190-00-D,CH3-03350
1021844-03-B,PT-SM-SC-01
1039448-00-B,AS-RF1-020-E
1032582-02-D,AS-T03-050-E
1007898-99-B,SH1-00300
6007100-00-A,AS-SF1-090-E
1026041-00-J,CHANGE-GA
1039551-01-B,HP1-00200
1051438-00-A,PT-SM-MO-01
1055909-00-A,BW-BAT-010
1039674-00-A,PT-FG-HVC-F23U
1025683-00-B,SU2-02000
1016278-00-C,PT-SM-BP-01
1008718-06-B,PL-IH-SA
1016792-00-C,SU2-03000
1041316-00-A,AS-D01-080-W
1039420-00-D,BP3-10700
1015634-00-A,AS-RF1-030-E
1008318-00-A,AS-FL-130-E
1016295-00-C,PT-SM-BP-01
1013463-00-B,ST-2D-LINESIDE
1023214-07-C,AS-CP-SEQ
1010611-00-B,ST-3A-STACKING
1012560-00-A,AS-C01-060-E
1024874-00-C,SU2-02000
1031074-E0-A,PN-PR-020-1
1004777-15-K,AS-IP1-070-E
1004777-00-M,AS-IP1-070-E
1008718-04-B,PL-IH-SA7
1013295-08-A,PN-PL
1041309-00-D,BP3-15200
1010453-00-A,PT-RPK-CART
1039420-00-B,BP3-10700
1050795-99-A,JB3-00500
1019313-00-B,BW-FT-BOS-BIW1
1013296-08-A,PN-PL
6006555-00-D,AS-C02-130-W
1032658-00-E,BIW-IN
1019627-00-A,SV1-20015
1030047-00-A,SU1-12000
1007664-00-A,AS-SF1-120-E
1008458-00-A,TP1-10040
1015786-99-A,AS-ADT-010-WB
6005947,AS-KT1-120-W
1010599-00-B,ST-4D-TABLE1
1010612-00-C,ST-2D-PUTAWAY
2003376,SU1-12000
1047816-00-B,PD1-12000
1053827-00-A,BP3-12200
1007471-00-J,PT-WS-SEQ-S
1048524-00-B,AS-PL-110
1013411-20-B,BM3-01900
1031867-01-D,CHANGE-GA
1031868-01-D,CHANGE-GA
1021490-00-A,SC2-00100
6006509-00-D,ST-SCHULER-STACKING TABLE1
1032901-01-B,SU3-03000
1022581-00-E,AS-REPAIR
6006758-00-A,ST-3A-STACKING
1020809-00-B,CH4-01200
1051538-00-A,PT-SM-DU-01
1052493-00-A,AS-RF1-020-E
1003286-00-L,CH1-02150
1014199-01-C,BM6-11000
1018812-00-F,PT-SM-SC-01
1051538-00-A,DT1-10400
1031049-00-E,TP1-10300
1048136-00-B,BP3-10700
1008905-04-D,PL-IH-SA
1033156-00-A,TP1-50030
1017412-03-A,PL-IMB-XX
1052844-00-A,BP3-35200
1017877-00-C,JB6-00100
1058197-00-A,PL-IMB-XX
1023467-01-D,TSUSHO
1032804-00-A,AS-T01-040-W
1035647-00-B,CH6-03100
1049424-99-B,AS-SF1-290-W
1003389-02-H,DT1-80200
1026899-02-E,JB3-00300
1046945-00-A,TSUSHO
1003337-00-C,PT-RPK-CART
1015897-00-E,CD1-NCM
1003830-00-B,ST-1B-STACKING
1041310-00-D,BP3-10700
2007129,BW-FT-BOS-BIW1
1038167-00-B,AS-RF1-020-E
6007200-00-C,ST-4D-STACKING
1031678-00-A,CH2-01100
1023098-01-B,SU2-15000
1028675-00-C,AS-T01-SA1-1
1004428-00-N,AS-T01-140-E
1015612-00-C,BP3-12200
1038187-00-A,AS-C02-110-W
1009509-00-B,AS-FL-100-E
1034991-00-B,CHANGE-GA-EXP
1002536-06-B,PL-IH-SA
1030602-00-E,AS-SF1-310-WZ
1006392-00-A,BW-FT-BOS-BIW1
1013411-00-A,BM3-00850
1056647-00-A,FA1-01700
1023190-01-C,PT-SM-EL-01
1013839-00-C,AS-C02-110-W
1041304-00-B,BP3-15700
1029352-00-A,SU2-02000
1024238-01-B,AS-CC01-010
1026899-00-E,JB3-00300
1014395-01-A,AS-PL-100
1023704-00-C,SU2-17000
1013296-02-A,PN-PL
1023847-02-A,BM5-01000
1002392-00-B,AS-C02-020-E
1004423-03-M,AS-HRN-SEQ
6007202-00-C,PN-TC-030-1
1043963-02-A,AS-SF1-040-E
1017450-01-A,DM1-11020
1003402-04-E,PT-SM-DU-01
1034428-00-A,SJ1-00100
1013626-00-D,AS-T01-020-W
6008087-06-D,AS-T01-140-E
1004429-90-P,AS-T01-140-W
1021837-00-A,PT-SM-SC-01
1014963-04-A,CH3-03150
1019136-00-A,TP1-10200
1039449-00-A,AS-RF1-020-E
1010617-00-B,ST-4D-TABLE1
1017045-00-A,SH1-00200
6006519-00-B,AS-T02-010-E
1046952-00-B,TSUSHO
