PRODUCTNO,LOCATION
6006395-00-E,ST-METAL REPAIR
1021103-01-A,SJ1-00100
1028046-00-D,AS-KT1-130-W
1049868-00-A,PT-SM-EL-01
1037652-00-C,TSUSHO
1006717-00-B,AS-FL-030-W
1055837-00-A,BP3-09200
1020241-00-A,AS-SF1-090-EZ
1003161-00-D,AS-OF-SEQ
1024081-00-E,SJ1-00100
1051538-00-A,DT1-40100
1014965-00-B,PT-SM-BP-01
1009251-00-B,PL-IMB-XX
1054268-00-A,BP3-09100
6008087-04-D,PN-TC-030-1
1025876-00-C,SU5-11000
1012008-00-B,HV2-00400
1036296-00-D,TP1-10040
1017529-01-C,BP3-19200
1002675-00-A,SW1-40000
1011543-00-A,AS-T03-050-E
1019313-00-A,BW-FT-BOS-BIW1
1031075-E0-A,PN-PR-020-1
1036298-00-D,TP1-10040
1023190-00-D,CH3-03350
1059688-00-A,FA1-01000
1009892-00-A,DT1-10400
1013417-00-B,AS-T02-120-E
1032582-02-D,AS-T03-050-E
1007898-99-B,SH1-00300
1012560-00-A,AS-C01-060-E
1026041-00-J,CHANGE-GA
1039551-01-B,HP1-00200
1016754-00-A,AS-RF1-010-E
1039674-00-A,PT-FG-HVC-F23U
1016278-00-C,PT-SM-BP-01
1008318-00-A,AS-FL-130-E
1016295-00-C,PT-SM-BP-01
1015753-00-A,BP3-13200
1023214-07-C,AS-CP-SEQ
1024874-00-C,SU2-02000
1009991-01-B,CD1-04250
1031074-E0-A,PN-PR-020-1
1008718-04-B,PL-IH-SA7
1013295-08-A,PN-PL
1039420-00-B,BP3-10700
1050795-99-A,JB3-00500
1019313-00-B,BW-FT-BOS-BIW1
1013296-08-A,PN-PL
6006555-00-D,AS-C02-130-W
1032658-00-E,BIW-IN
1007664-00-A,AS-SF1-120-E
1008458-00-A,TP1-10040
1046952-00-B,TSUSHO
1006738-00-B,AS-FL-030-W
1015786-99-A,AS-ADT-010-WB
6005947,AS-KT1-120-W
1016271-00-B,AS-FL-040-W
1038973-00-A,TSUSHO
1053827-00-A,BP3-12200
1048524-00-B,AS-PL-110
1016954-00-A,PT-SM-BP-01
1031867-01-D,CHANGE-GA
1031868-01-D,CHANGE-GA
1041310-00-D,BP3-10700
1022581-00-E,AS-REPAIR
1051538-00-A,PT-SM-DU-01
1052493-00-A,AS-RF1-020-E
1014199-01-C,BM6-11000
1013599-01-D,AS-3RW-010-E
1022349-00-A,PT-SM-SC-01
1031049-00-E,TP1-10300
1008905-04-D,PL-IH-SA
1056965-00-A,AS-FL-160-W
1017412-03-A,PL-IMB-XX
1003341-00-B,HV2-00200
1052844-00-A,BP3-35200
1017877-00-C,JB6-00100
1032804-00-A,AS-T01-040-W
1058197-00-A,PL-IMB-XX
6007040-00-A,AS-SF1-250-W
1043167-00-A,ST-3A-STACKING
1035647-00-B,CH6-03100
1015897-00-E,CD1-NCM
1015897-00-G,CD1-03000
1026222-00-A,SU3-06000
1013411-00-A,BM3-00850
1028387-00-E,BM3-00500
6007200-00-C,ST-4D-STACKING
1015608-01-C,BP3-03030
1009509-00-B,AS-FL-100-E
1039428-00-C,BP3-10700
1006392-00-A,BW-FT-BOS-BIW1
1056647-00-A,FA1-01700
1023190-01-C,PT-SM-EL-01
1013839-00-C,AS-C02-110-W
1041304-00-B,BP3-15700
1038167-00-B,AS-RF1-020-E
1007277-00-A,HV2-00405
1013296-02-A,PN-PL
1002392-00-B,AS-C02-020-E
1004423-03-M,AS-HRN-SEQ
6007202-00-C,PN-TC-030-1
1043963-02-A,AS-SF1-040-E
1017450-01-A,DM1-11020
1003402-04-E,PT-SM-DU-01
1034428-00-A,SJ1-00100
1013626-00-D,AS-T01-020-W
6008087-06-D,AS-T01-140-E
1004429-90-P,AS-T01-140-W
1053124-00-A,FS2-07000
1014963-00-G,PT-FG-CH3-H23U
1032274-90-C,AS-T03-010-W
1017045-00-A,SH1-00200
1008718-00-B,PL-IH-SA
1019028-01-D,PT-SM-SC-01
1023468-00-C,TSUSHO
1004590-00-B,HV2-00400
1004672-00-A,TP1-10435
1014963-00-K,CH3-03400
1047472-00-C,BP3-13200
1047340-01-B,BP3-22300_RW
1023745-00-C,AS-IP2-010-W
2006968-00-A,AS-T03-030-WG
1024204-00-E,BP4-03004
1010848-00-A,HP1-01000
1013295-02-A,PN-PL
1053123-00-B,FS2-06000
1030841-01-B,CH5-00100
1030269-00-A,CH5-00100
1021844-01-C,SC1-00400
1028650-00-B,BIW-IN
1038162-05-A,SC2-00502
1014023-00-A,TP1-10300
1014252-00-F,BM6-04003
1004588-00-B,HV2-00200
1019627-00-A,SV1-20015
1003995-00-D,TP1-10380
1014359-01-A,PT-SM-DU-01
1008866-00-B,AS-C02-080-E
1030051-00-D,JB5-00200
1046849-01-A,SC2-00502
1018781-00-C,AS-T01-100-W
1030052-00-D,JB5-00200
1054095-00-A,BP3-09100
1033958-00-B,SC2-00600
1002773-00-A,PT-SM-BP-01
1055837-00-B,BP3-09100
1036779-00-A,AS-REPAIR
1046668-00-A,BP3-09100
6006573-00-C,ST-3A-STACKING
1056847-00-A,BP3-09100
1054267-00-A,BP3-06200
1054267-00-A,BP3-09100
1046763-00-A,BP3-05200
1046763-00-A,BP3-09100
1054096-00-A,BP3-09100
1054268-00-A,BP3-06200
6006485-00-D,ST-3D-LINESIDE
1038021-01-A,BP3-35200
1011899-00-A,HP1-00400
1041151-00-A,AS-T02-040-E
1020312-00-D,AS-FL-110-E
1003368-00-C,HV2-00200
1033692-05-A,DM1-13500
1031759-00-A,PT-SM-EL-01
1013273-00-C,AS-T03-060-W
1030270-00-A,CH5-00100
1011614-00-A,CH1-01400
1014428-00-B,HV2-00400
1056964-00-A,AS-FL-160-W
1021970-00-B,PT-SM-MO-01
1024874-00-C,SU2-11000
1042519-00-A,SC2-00800
1003402-00-E,PT-SM-DU-01
1030834-00-A,JB5-00100
2007021,BW-FT-BOS-BIW1
1013659-00-C,HV2-00400
1045935-01-C,PT-WS-SEQ-S
1030624-00-A,AS-SF1-120-E
1014022-00-A,TP1-50010
1007461-00-A,CH1-01400
1024194-00-C,HV9-00410
1019028-00-D,SC2-00401
1028653-00-C,BIW-IN
1002310-03-D,AS-CP-SEQ
1010643-00-C,ST-1B-STACKING
1002536-07-B,PL-IH-SA
1024689-00-A,HV9-00410
1011490-00-B,HP1-01000
1023721-E0-A,PN-PR-020-1
1047040-00-A,PT-FG-BM-L20U_FLEX
1003368-01-C,HV2-00200
1018056-00-C,BP3-01000
1021119-00-A,SH1-00400
1038487-00-A,AS-INS-120-W
1053124-00-A,BP3-01000
1017666-00-D,PT-SM-BP-01
1026898-01-B,AS-T02-100-EZ
1017720-00-A,HV9-00400
1024569-00-D,CHANGE-GA
1008389-01-A,HV2-00400
1021839-00-A,SC2-00901-B
1028385-02-A,AS-T02-060-E
1041375-00-A,SU4-14000
1028652-00-B,AS-T03-070-W
1019028-05-E,PT-SM-SC-01
6010351-00-H,BP3-03200
1008458-00-A,TP1-10060
1013411-10-C,CT1-00500
1016383-01-A,TM1-70000-B
1028675-00-C,AS-T01-010-E
1005124-00-A,AS-T02-120-E
1038706-00-A,AS-T03-030-E
1016753-00-A,BW-FT-BOS-BIW2
1036779-01-A,AS-REPAIR
6007367-00-E,AS-SF1-120-E
1011545-00-A,AS-T03-050-E
1013043-00-A,CD1-04500
1038224-00-B,AS-REPAIR
1014045-00-F,BP4-04004
1048526-00-B,AS-PL-110
1003403-00-E,PT-SM-DU-01
1033154-00-A,TP1-10370
1014339-10-E,FA1-00200
1051618-00-A,PT-SM-MO-01
1038774-00-D,CH6-03100
1030054-00-D,JB5-00300
1023211-07-B,AS-CP-SEQ
6006600-00-B,ST-3A-STACKING
1014345-00-A,FA1-01200
1015897-00-E,CD1-04500
1014023-00-A,TP1-10060
1023488-10-C,HV9-00410
1015897-00-F,CD1-04500
1015589-00-B,AS-FL-080-W
1006989-00-C,AS-T01-140-E
1053340-00-A,DM1-13000
1010573-00-B,ST-4D-TABLE1
1056787-00-A,SU5-11000
6005879-01-A,AS-C03-050-W
1021934-00-A,SC2-00600
1036288-00-D,TP1-10040
1008244-00-H,AS-C02-060-WZ
1031957-00-B,AS-T01-080-E
1017046-00-A,SH1-00100
1014022-00-A,TP1-10300
1014170-00-A,HV2-00400
1005361-00-C,CH1-01700
1006855-00-A,HV8-00400
1028702-00-A,AS-FL-120-E
1018190-00-C,BW-AD-S1-01-1
1028157-90-B,AS-T01-030-W
1024380-00-A,HV2-00200
1048910-00-A,AS-REPAIR
1051947-00-A,AS-FL-120-E
6008902-00-A,AS-FL-110-E
1007487-00-A,AS-SF2-030-E
1042391-00-D,CHANGE-GA
